rank,change,player,team,attacking,creativity,defending,goalkeeping_defending,goalkeeping_possession,overall_score,source,checked_at
2,0,Lionel MESSI,Argentina,8.20,6.61,4.75,,,6.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
77,472,Lisandro MARTINEZ,Argentina,5.62,5.56,5.40,,,5.53,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
415,103,Cristian ROMERO,Argentina,4.51,5.48,6.37,,,5.45,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
200,,Lionel MESSIArgentina,Argentina,,,,8.20,6.61,7.40,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
77472472,,Lisandro MARTINEZArgentina,Argentina,,,,5.62,5.56,5.59,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
415103103,,Cristian ROMEROArgentina,Argentina,,,,4.51,5.48,5.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
36,38,Romelu LUKAKU,Belgium,6.04,5.69,4.84,,,5.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
48,0,Leandro TROSSARD,Belgium,5.86,6.74,5.43,,,6.01,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
86,266,Youri TIELEMANS,Belgium,5.54,5.70,5.51,,,5.58,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
119,-16,Kevin DE BRUYNE,Belgium,5.31,7.00,5.19,,,5.83,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
127,-27,Jeremy DOKU,Belgium,5.22,7.05,4.71,,,5.66,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
182,132,Thomas MEUNIER,Belgium,4.87,6.18,6.35,,,5.80,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
205,61,Nicolas RASKIN,Belgium,4.82,5.94,6.20,,,5.65,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
308,-22,Charles DE KETELAERE,Belgium,4.67,6.33,6.12,,,5.71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
446,-61,Brandon MECHELE,Belgium,4.46,5.61,7.04,,,5.70,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/power-rankings,2026-07-04T18:04:24.614Z
