round,match_number,date,team1,team2,team1_source,team2_source,venue,venue_country,kickoff_utc,result_check_after_utc,team1_score_90,team2_score_90,team1_score_final,team2_score_final,actual_advancing_team
Round of 32,73,2026-06-28,South Africa,Canada,,,Los Angeles Stadium,USA,,,0,1,,,Canada
Round of 32,74,2026-06-29,Germany,Paraguay,,,Boston Stadium,USA,,,1,1,1,1,Paraguay
Round of 32,75,2026-06-29,Netherlands,Morocco,,,Estadio Monterrey,Mexico,,,1,1,1,1,Morocco
Round of 32,76,2026-06-29,Brazil,Japan,,,Houston Stadium,USA,,,2,1,,,Brazil
Round of 32,77,2026-06-30,France,Sweden,,,New York New Jersey Stadium,USA,2026-06-30T21:00:00+00:00,2026-06-30T23:30:00+00:00,3,0,,,France
Round of 32,78,2026-06-30,Côte d'Ivoire,Norway,,,Dallas Stadium,USA,2026-06-30T17:00:00+00:00,2026-06-30T19:30:00+00:00,1,2,,,Norway
Round of 32,79,2026-06-30,Mexico,Ecuador,,,Mexico City Stadium,Mexico,2026-07-01T01:00:00+00:00,2026-07-01T03:30:00+00:00,2,0,,,Mexico
Round of 32,80,2026-07-01,England,Congo DR,,,Atlanta Stadium,USA,2026-07-01T16:00:00+00:00,2026-07-01T18:30:00+00:00,2,1,,,England
Round of 32,81,2026-07-01,USA,Bosnia and Herzegovina,,,San Francisco Bay Area Stadium,USA,2026-07-02T00:00:00+00:00,2026-07-02T02:30:00+00:00,2,0,,,USA
Round of 32,82,2026-07-01,Belgium,Senegal,,,Seattle Stadium,USA,2026-07-01T20:00:00+00:00,2026-07-01T22:30:00+00:00,2,2,3,2,Belgium
Round of 32,83,2026-07-02,Portugal,Croatia,,,Toronto Stadium,Canada,2026-07-02T23:00:00+00:00,2026-07-03T01:30:00+00:00,2,1,,,Portugal
Round of 32,84,2026-07-02,Spain,Austria,,,Los Angeles Stadium,USA,2026-07-02T19:00:00+00:00,2026-07-02T21:30:00+00:00,3,0,,,Spain
Round of 32,85,2026-07-02,Switzerland,Algeria,,,BC Place Vancouver,Canada,2026-07-03T03:00:00+00:00,2026-07-03T05:30:00+00:00,2,0,,,Switzerland
Round of 32,86,2026-07-03,Argentina,Cabo Verde,,,Miami Stadium,USA,2026-07-03T22:00:00+00:00,2026-07-04T00:30:00+00:00,,,3,2,Argentina
Round of 32,87,2026-07-03,Colombia,Ghana,,,Kansas City Stadium,USA,2026-07-04T01:30:00+00:00,2026-07-04T04:00:00+00:00,1,0,,,Colombia
Round of 32,88,2026-07-03,Australia,Egypt,,,Dallas Stadium,USA,2026-07-03T18:00:00+00:00,2026-07-03T20:30:00+00:00,1,1,1,1,Egypt
Round of 16,89,2026-07-04,,,Winner match 74,Winner match 77,Philadelphia Stadium,USA,,,0,1,,,France
Round of 16,90,2026-07-04,,,Winner match 73,Winner match 75,Houston Stadium,USA,,,0,3,,,Morocco
Round of 16,91,2026-07-05,,,Winner match 76,Winner match 78,New York New Jersey Stadium,USA,,,1,2,,,Norway
Round of 16,92,2026-07-05,,,Winner match 79,Winner match 80,Mexico City Stadium,Mexico,,,2,3,,,England
Round of 16,93,2026-07-06,,,Winner match 83,Winner match 84,Dallas Stadium,USA,2026-07-06T19:00:00+00:00,2026-07-06T21:30:00+00:00,0,1,,,Spain
Round of 16,94,2026-07-06,,,Winner match 81,Winner match 82,Seattle Stadium,USA,2026-07-07T00:00:00+00:00,2026-07-07T02:30:00+00:00,1,4,,,Belgium
Round of 16,95,2026-07-07,,,Winner match 86,Winner match 88,Atlanta Stadium,USA,2026-07-07T16:00:00+00:00,2026-07-07T18:30:00+00:00,3,2,,,Argentina
Round of 16,96,2026-07-07,,,Winner match 85,Winner match 87,BC Place Vancouver,Canada,2026-07-07T23:00:00+00:00,2026-07-08T01:30:00+00:00,0,0,0,0,Switzerland
Quarter-final,97,2026-07-09,,,Winner match 89,Winner match 90,Boston Stadium,USA,,,2,0,,,France
Quarter-final,98,2026-07-10,,,Winner match 93,Winner match 94,Los Angeles Stadium,USA,,,,,,,
Quarter-final,99,2026-07-11,,,Winner match 91,Winner match 92,Miami Stadium,USA,,,,,,,
Quarter-final,100,2026-07-11,,,Winner match 95,Winner match 96,Kansas City Stadium,USA,,,,,,,
Semi-final,101,2026-07-14,,,Winner match 97,Winner match 98,Dallas Stadium,USA,,,,,,,
Semi-final,102,2026-07-15,,,Winner match 99,Winner match 100,Atlanta Stadium,USA,,,,,,,
Bronze final,103,2026-07-18,,,Runner-up match 101,Runner-up match 102,Miami Stadium,USA,,,,,,,
Final,104,2026-07-19,,,Winner match 101,Winner match 102,New York New Jersey Stadium,USA,,,,,,,
