round,match_number,date,team1,team2,venue,venue_country
Round of 32,73,2026-06-28,South Africa,Canada,Los Angeles Stadium,USA
Round of 32,74,2026-06-29,Germany,Paraguay,Boston Stadium,USA
Round of 32,75,2026-06-29,Netherlands,Morocco,Estadio Monterrey,Mexico
Round of 32,76,2026-06-29,Brazil,Japan,Houston Stadium,USA
Round of 32,77,2026-06-30,France,Sweden,New York New Jersey Stadium,USA
Round of 32,78,2026-06-30,Côte d'Ivoire,Norway,Dallas Stadium,USA
Round of 32,79,2026-06-30,Mexico,Ecuador,Mexico City Stadium,Mexico
Round of 32,80,2026-07-01,England,Congo DR,Atlanta Stadium,USA
Round of 32,81,2026-07-01,USA,Bosnia and Herzegovina,San Francisco Bay Area Stadium,USA
Round of 32,82,2026-07-01,Belgium,Senegal,Seattle Stadium,USA
Round of 32,83,2026-07-02,Portugal,Croatia,Toronto Stadium,Canada
Round of 32,84,2026-07-02,Spain,Austria,Los Angeles Stadium,USA
Round of 32,85,2026-07-02,Switzerland,Algeria,BC Place Vancouver,Canada
Round of 32,86,2026-07-03,Argentina,Cabo Verde,Miami Stadium,USA
Round of 32,87,2026-07-03,Colombia,Ghana,Kansas City Stadium,USA
Round of 32,88,2026-07-03,Australia,Egypt,Dallas Stadium,USA
