team,network_score,network_adjustment,completed_matches_in_graph
Mexico,0.4457,51.3,3
France,0.4343,49.9,3
Argentina,0.3547,40.8,3
Ghana,0.3034,34.9,3
Cabo Verde,0.2884,33.2,3
Colombia,0.2795,32.1,3
Netherlands,0.2635,30.3,3
Switzerland,0.2501,28.8,3
Norway,0.2437,28.0,3
Brazil,0.2336,26.9,3
USA,0.212,24.4,3
England,0.1985,22.8,3
Egypt,0.1973,22.7,3
Côte d'Ivoire,0.1953,22.5,3
Japan,0.1681,19.3,3
Morocco,0.1679,19.3,3
Congo DR,0.1619,18.6,3
Spain,0.1244,14.3,3
South Africa,0.117,13.5,3
Bosnia and Herzegovina,0.1013,11.7,3
Sweden,0.0899,10.3,3
Paraguay,0.0819,9.4,3
Portugal,0.0414,4.8,3
Australia,0.0366,4.2,3
Germany,0.0124,1.4,3
Belgium,0.0117,1.3,3
Croatia,0.0097,1.1,3
Ecuador,-0.0265,-3.1,3
Austria,-0.0291,-3.3,3
Canada,-0.0382,-4.4,3
Saudi Arabia,-0.0456,-5.2,3
IR Iran,-0.0469,-5.4,3
Algeria,-0.0488,-5.6,3
New Zealand,-0.1262,-14.5,3
Curaçao,-0.151,-17.4,3
Türkiye,-0.1604,-18.4,3
Scotland,-0.209,-24.0,3
Korea Republic,-0.2571,-29.6,3
Senegal,-0.2604,-30.0,3
Uruguay,-0.2805,-32.3,3
Haiti,-0.3124,-35.9,3
Qatar,-0.3339,-38.4,3
Jordan,-0.3477,-40.0,3
Czechia,-0.3503,-40.3,3
Iraq,-0.4861,-55.9,3
Uzbekistan,-0.4875,-56.1,3
Panama,-0.4911,-56.5,3
Tunisia,-0.5354,-61.6,3
