team,ranked_player_count,best_rank,best_player,team_power_score,power_adjustment
France,18,1,Kylian MBAPPE,7.41,51.8
Argentina,6,2,Lionel MESSI,6.5,30.7
Switzerland,14,6,Johan MANZAMBI,6.66,21.7
Norway,12,3,Erling HAALAND,6.16,20.9
England,20,4,Harry KANE,6.28,20.2
Brazil,14,7,VINICIUS JUNIOR,6.4,13.7
Spain,18,13,Mikel OYARZABAL,6.42,1.9
Mexico,18,11,Julian QUINONES,6.34,0.5
USA,20,40,Sebastian BERHALTER,6.26,-1.2
Canada,20,16,Cyle LARIN,6.2,-2.3
Belgium,20,36,Romelu LUKAKU,6.19,-2.5
Paraguay,14,25,Julio ENCISO,6.19,-2.5
Morocco,16,15,Ismael SAIBARI,6.08,-4.8
Egypt,16,34,EMAM ASHOUR,6.02,-6.1
Portugal,14,37,RAFAEL LEAO,6.01,-6.2
Colombia,16,30,Daniel MUNOZ,5.99,-6.7
