group,team,fifa_code,fifa_rank,fifa_points
A,Mexico,MEX,14,1687.48
A,South Africa,RSA,60,1428.38
A,Korea Republic,KOR,25,1591.63
A,Czechia,CZE,40,1505.74
B,Canada,CAN,30,1559.48
B,Qatar,QAT,56,1450.31
B,Switzerland,SUI,19,1650.06
B,Bosnia and Herzegovina,BIH,64,1387.22
C,Brazil,BRA,6,1765.86
C,Morocco,MAR,7,1755.10
C,Haiti,HAI,83,1293.10
C,Scotland,SCO,42,1503.34
D,USA,USA,17,1671.23
D,Australia,AUS,27,1579.34
D,Türkiye,TUR,22,1605.73
D,Paraguay,PAR,41,1505.35
E,Germany,GER,10,1735.77
E,Curaçao,CUW,82,1294.77
E,Côte d'Ivoire,CIV,33,1540.87
E,Ecuador,ECU,23,1598.52
F,Netherlands,NED,8,1753.57
F,Japan,JPN,18,1661.58
F,Sweden,SWE,38,1509.79
F,Tunisia,TUN,45,1476.41
G,Belgium,BEL,9,1742.24
G,Egypt,EGY,29,1562.37
G,IR Iran,IRN,20,1619.58
G,New Zealand,NZL,85,1275.58
H,Spain,ESP,2,1874.71
H,Cabo Verde,CPV,67,1371.11
H,Saudi Arabia,KSA,61,1423.88
H,Uruguay,URU,16,1673.07
I,France,FRA,3,1870.70
I,Senegal,SEN,15,1684.07
I,Iraq,IRQ,57,1446.28
I,Norway,NOR,31,1557.44
J,Argentina,ARG,1,1877.27
J,Algeria,ALG,28,1571.03
J,Austria,AUT,24,1597.40
J,Jordan,JOR,63,1387.74
K,Portugal,POR,5,1767.85
K,Congo DR,COD,46,1474.43
K,Uzbekistan,UZB,50,1458.73
K,Colombia,COL,13,1698.35
L,England,ENG,4,1828.02
L,Croatia,CRO,11,1714.87
L,Ghana,GHA,73,1346.88
L,Panama,PAN,34,1539.16
