date,home_team,away_team,home_score,away_score,stage,venue,venue_country
2026-06-11,Mexico,South Africa,2,0,Group A,Mexico City Stadium,Mexico
2026-06-11,Korea Republic,Czechia,2,1,Group A,Guadalajara Stadium,Mexico
2026-06-12,Canada,Bosnia and Herzegovina,1,1,Group B,Toronto Stadium,Canada
2026-06-12,USA,Paraguay,4,1,Group D,Los Angeles Stadium,USA
2026-06-13,Haiti,Scotland,0,1,Group C,Boston Stadium,USA
2026-06-13,Australia,Türkiye,2,0,Group D,BC Place Vancouver,Canada
2026-06-13,Brazil,Morocco,1,1,Group C,New York New Jersey Stadium,USA
2026-06-13,Qatar,Switzerland,1,1,Group B,San Francisco Bay Area Stadium,USA
2026-06-14,Côte d'Ivoire,Ecuador,1,0,Group E,Philadelphia Stadium,USA
2026-06-14,Germany,Curaçao,7,1,Group E,Houston Stadium,USA
2026-06-14,Netherlands,Japan,2,2,Group F,Dallas Stadium,USA
2026-06-14,Sweden,Tunisia,5,1,Group F,Estadio Monterrey,Mexico
2026-06-15,Saudi Arabia,Uruguay,1,1,Group H,Miami Stadium,USA
2026-06-15,Spain,Cabo Verde,0,0,Group H,Atlanta Stadium,USA
2026-06-15,IR Iran,New Zealand,2,2,Group G,Los Angeles Stadium,USA
2026-06-15,Belgium,Egypt,1,1,Group G,Seattle Stadium,USA
2026-06-16,France,Senegal,3,1,Group I,New York New Jersey Stadium,USA
2026-06-16,Iraq,Norway,1,4,Group I,Boston Stadium,USA
2026-06-16,Argentina,Algeria,3,0,Group J,Kansas City Stadium,USA
2026-06-16,Austria,Jordan,3,1,Group J,San Francisco Bay Area Stadium,USA
2026-06-17,Ghana,Panama,1,0,Group L,Toronto Stadium,Canada
2026-06-17,England,Croatia,4,2,Group L,Dallas Stadium,USA
2026-06-17,Portugal,Congo DR,1,1,Group K,Houston Stadium,USA
2026-06-17,Uzbekistan,Colombia,1,3,Group K,Mexico City Stadium,Mexico
2026-06-18,Czechia,South Africa,1,1,Group A,Atlanta Stadium,USA
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Group B,Los Angeles Stadium,USA
2026-06-18,Canada,Qatar,6,0,Group B,BC Place Vancouver,Canada
2026-06-18,Mexico,Korea Republic,1,0,Group A,Guadalajara Stadium,Mexico
2026-06-19,Brazil,Haiti,3,0,Group C,Philadelphia Stadium,USA
2026-06-19,Scotland,Morocco,0,1,Group C,Boston Stadium,USA
2026-06-19,Türkiye,Paraguay,0,1,Group D,San Francisco Bay Area Stadium,USA
2026-06-19,USA,Australia,2,0,Group D,Seattle Stadium,USA
2026-06-20,Germany,Côte d'Ivoire,2,1,Group E,Toronto Stadium,Canada
2026-06-20,Ecuador,Curaçao,0,0,Group E,Kansas City Stadium,USA
2026-06-20,Netherlands,Sweden,5,1,Group F,Houston Stadium,USA
2026-06-20,Tunisia,Japan,0,4,Group F,Estadio Monterrey,Mexico
2026-06-21,Uruguay,Cabo Verde,2,2,Group H,Miami Stadium,USA
2026-06-21,Spain,Saudi Arabia,4,0,Group H,Atlanta Stadium,USA
2026-06-21,Belgium,IR Iran,0,0,Group G,Los Angeles Stadium,USA
2026-06-21,New Zealand,Egypt,1,3,Group G,BC Place Vancouver,Canada
2026-06-22,Norway,Senegal,3,2,Group I,New York New Jersey Stadium,USA
2026-06-22,France,Iraq,3,0,Group I,Philadelphia Stadium,USA
2026-06-22,Argentina,Austria,2,0,Group J,Dallas Stadium,USA
2026-06-22,Jordan,Algeria,1,2,Group J,San Francisco Bay Area Stadium,USA
2026-06-23,England,Ghana,0,0,Group L,Boston Stadium,USA
